iter	Logloss
0	0.5608414511
1	0.4566135277
2	0.3827849314
3	0.3374043403
4	0.3014028738
5	0.2663984431
6	0.2425116506
7	0.228472915
8	0.2128335102
9	0.2013139842
10	0.192407364
11	0.1850646118
12	0.1791780508
13	0.1746589295
14	0.1714011575
15	0.1686904658
16	0.1661099678
17	0.1641313131
18	0.1624867011
19	0.1611535522
20	0.1598416832
21	0.1589642677
22	0.1580584494
23	0.1575708948
24	0.1567431343
25	0.1561159791
26	0.155498827
27	0.1551357176
28	0.1547188272
29	0.154249836
30	0.1539531584
31	0.1536328644
32	0.1533959809
33	0.1531954772
34	0.1529155095
35	0.1528333675
36	0.1527064783
37	0.1524390292
38	0.1522744968
39	0.1520777114
40	0.1517795336
41	0.1515144712
42	0.1514032938
43	0.1512398137
44	0.1510668742
45	0.1507985124
46	0.1502811122
47	0.1502184792
48	0.1500379596
49	0.1497877584
50	0.1497111714
51	0.1496771505
52	0.1494065182
53	0.1493926878
54	0.1492936911
55	0.1491793412
56	0.1490676674
57	0.1489956797
58	0.148915592
59	0.1488078668
60	0.1487405769
61	0.1486751036
62	0.148580196
63	0.1484534527
64	0.1482994613
65	0.1481968027
66	0.1481353321
67	0.1480819407
68	0.1479792885
69	0.1479467935
70	0.1478815615
71	0.1478055371
72	0.1477439127
73	0.1476780775
74	0.1476573146
75	0.1475112217
76	0.1474609915
77	0.1473791414
78	0.1473014593
79	0.1472397702
80	0.1471106187
81	0.1470506445
82	0.147006828
83	0.1468701057
84	0.1468030281
85	0.1467277131
86	0.1466859304
87	0.1465574647
88	0.1465030167
89	0.1464795767
90	0.1464328842
91	0.1463434645
92	0.1462921967
93	0.1461985913
94	0.1461397424
95	0.1460850145
96	0.1460417273
97	0.145944808
98	0.1458587801
99	0.1457005453
