iter	Passed	Remaining
0	143	14224
1	153	7531
2	161	5230
3	170	4093
4	179	3401
5	186	2929
6	195	2601
7	203	2343
8	212	2144
9	220	1980
10	228	1845
11	236	1733
12	245	1641
13	253	1556
14	261	1480
15	269	1416
16	278	1359
17	288	1313
18	298	1271
19	306	1226
20	315	1187
21	323	1146
22	331	1111
23	338	1072
24	346	1040
25	356	1013
26	364	985
27	372	958
28	381	934
29	390	910
30	398	887
31	407	865
32	415	843
33	423	822
34	431	801
35	439	782
36	448	763
37	456	745
38	465	727
39	473	710
40	482	694
41	490	677
42	498	661
43	506	645
44	515	630
45	524	615
46	533	601
47	541	586
48	550	572
49	559	559
50	567	545
51	575	531
52	583	517
53	592	504
54	600	491
55	608	478
56	616	465
57	625	452
58	633	440
59	642	428
60	650	415
61	659	404
62	667	392
63	676	380
64	684	368
65	693	357
66	701	345
67	710	334
68	719	323
69	727	311
70	735	300
71	743	289
72	752	278
73	760	267
74	768	256
75	777	245
76	785	234
77	794	223
78	802	213
79	810	202
80	819	192
81	827	181
82	835	171
83	844	160
84	853	150
85	861	140
86	870	130
87	878	119
88	887	109
89	895	99
90	903	89
91	911	79
92	919	69
93	928	59
94	936	49
95	945	39
96	953	29
97	961	19
98	970	9
99	979	0
